iter	Passed	Remaining
0	108	32482
1	214	31996
2	363	35984
3	460	34064
4	559	32986
5	673	32983
6	755	31608
7	840	30683
8	931	30124
9	1017	29501
10	1097	28826
11	1190	28570
12	1276	28181
13	1355	27683
14	1446	27480
15	1528	27137
16	1606	26751
17	1698	26608
18	1786	26418
19	1867	26140
20	1955	25980
21	2044	25834
22	2131	25666
23	2244	25817
24	2326	25593
25	2408	25385
26	2488	25159
27	2583	25096
28	2660	24861
29	2766	24897
30	2849	24724
31	2957	24767
32	3056	24732
33	3138	24553
34	3225	24419
35	3368	24704
36	3450	24525
37	3530	24341
38	3607	24140
39	3716	24155
40	3804	24030
41	3905	23989
42	3995	23879
43	4101	23861
44	4192	23757
45	4274	23603
46	4377	23562
47	4460	23418
48	4538	23245
49	4636	23180
50	4722	23057
51	4809	22936
52	4903	22853
53	4987	22720
54	5073	22601
55	5155	22463
56	5252	22393
57	5334	22257
58	5440	22221
59	5531	22124
60	5612	21991
61	5706	21904
62	5788	21774
63	5863	21619
64	5972	21593
65	6060	21487
66	6142	21360
67	6226	21243
68	6325	21177
69	6397	21021
70	6485	20918
71	6573	20814
72	6661	20714
73	6765	20662
74	6857	20571
75	6937	20446
76	7025	20345
77	7116	20255
78	7194	20126
79	7301	20078
80	7392	19985
81	7472	19865
82	7551	19744
83	7653	19679
84	7737	19571
85	7839	19508
86	7919	19390
87	7998	19268
88	8079	19155
89	8181	19090
90	8258	18968
91	8480	19173
92	8690	19342
93	8792	19268
94	8871	19144
95	8970	19062
96	9045	18930
97	9136	18832
98	9212	18703
99	9310	18620
100	9385	18493
101	9478	18400
102	9563	18290
103	9644	18176
104	9729	18069
105	9820	17972
106	9897	17852
107	9997	17772
108	10093	17686
109	10173	17572
110	10255	17462
111	10348	17370
112	10426	17254
113	10506	17142
114	10614	17075
115	10695	16965
116	10795	16885
117	10886	16790
118	10961	16672
119	11053	16579
120	11141	16481
121	11222	16374
122	11314	16281
123	11402	16184
124	11481	16074
125	11580	15991
126	11656	15878
127	11733	15766
128	11820	15669
129	11912	15578
130	11992	15471
131	12076	15370
132	12167	15277
133	12251	15177
134	12336	15077
135	12430	14989
136	12506	14880
137	12659	14861
138	12747	14764
139	12821	14653
140	12904	14552
141	12999	14464
142	13083	14364
143	13186	14285
144	13274	14190
145	13355	14087
146	13430	13978
147	13524	13890
148	13607	13790
149	13705	13705
150	13790	13608
151	13869	13504
152	13941	13395
153	14053	13323
154	14132	13220
155	14224	13130
156	14308	13032
157	14384	12927
158	14472	12833
159	14582	12760
160	14660	12657
161	14762	12575
162	14839	12472
163	14914	12368
164	14994	12268
165	15099	12188
166	15174	12084
167	15277	12003
168	15355	11903
169	15436	11804
170	15514	11703
171	15618	11623
172	15694	11521
173	15803	11443
174	15888	11348
175	15978	11257
176	16065	11164
177	16159	11075
178	16238	10977
179	16330	10886
180	16424	10798
181	16499	10697
182	16595	10610
183	16685	10518
184	16771	10425
185	16855	10330
186	16958	10247
187	17042	10152
188	17139	10065
189	17216	9967
190	17301	9873
191	17376	9774
192	17480	9691
193	17557	9593
194	17646	9502
195	17745	9415
196	17831	9323
197	17933	9238
198	18018	9144
199	18095	9047
200	18191	8960
201	18278	8867
202	18361	8773
203	18445	8680
204	18533	8588
205	18610	8492
206	18705	8403
207	18799	8314
208	18877	8219
209	18950	8121
210	19045	8033
211	19126	7939
212	19227	7853
213	19312	7761
214	19387	7664
215	19472	7572
216	19580	7489
217	19659	7394
218	19761	7308
219	19839	7214
220	19917	7120
221	20009	7030
222	20104	6942
223	20187	6849
224	20322	6774
225	20397	6678
226	20487	6588
227	20572	6496
228	20664	6407
229	20746	6314
230	20834	6223
231	20924	6133
232	21010	6041
233	21094	5949
234	21184	5859
235	21265	5766
236	21378	5682
237	21464	5591
238	21549	5500
239	21629	5407
240	21722	5317
241	21815	5228
242	21922	5142
243	22010	5051
244	22089	4958
245	22172	4867
246	22271	4779
247	22352	4686
248	22434	4594
249	22527	4505
250	22614	4414
251	22720	4327
252	22801	4235
253	22885	4144
254	22976	4054
255	23065	3964
256	23144	3872
257	23232	3782
258	23498	3719
259	23664	3640
260	23754	3549
261	23847	3458
262	23938	3367
263	24035	3277
264	24123	3186
265	24202	3093
266	24285	3001
267	24391	2912
268	24465	2819
269	24569	2729
270	24657	2638
271	24738	2546
272	24835	2456
273	24927	2365
274	25004	2273
275	25101	2182
276	25189	2091
277	25267	1999
278	25348	1907
279	25445	1817
280	25521	1725
281	25603	1634
282	25705	1544
283	25788	1452
284	25884	1362
285	25967	1271
286	26041	1179
287	26120	1088
288	26227	998
289	26299	906
290	26399	816
291	26479	725
292	26559	634
293	26631	543
294	26739	453
295	26816	362
296	26916	271
297	26996	181
298	27075	90
299	27161	0
